quarter_date,strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date,switch_flag,switch_reason,ter_pct,ter_dec,nom,label
2024-07-01,STRAT2,UGEEIBA ID Equity,2,1.2675583262603265,top2_diversified,0.12368674595667473,0.7179196631669764,2024-04-01,0,same_ticker,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2024-07-01,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2024-10-01,STRAT1,ASRATH2 LX Equity,1,1.5848382258751181,top1,,0.0,2023-04-03,0,hold_buffer,1.6,0.016,ALLIANZ STRUCT RT-AT14EUR,ALLIANZ STRUCT RT-AT14EUR
2024-10-01,STRAT1,UIATHNA GR Equity,2,0.9106832838730005,top2_diversified,,0.6741549420021177,2023-04-03,0,hold_buffer,1.23,0.0123,ATHENA UI,ATHENA UI
2024-10-01,STRAT2,LGSSA3E ID Equity,1,1.9578903339303073,top1,,0.0,2023-04-03,0,hold_buffer,0.21,0.0021,LITRUST GF EU STR EQ-A3INACE,LITRUST GF EU STR EQ-A3INACE
2024-10-01,STRAT2,UGEEIBA ID Equity,2,1.2675583262603265,top2_diversified,0.12368674595667473,0.7179196631669764,2024-04-01,0,hold_buffer,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2024-10-01,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2024-10-01,STRAT3,00XL GR Equity,2,1.9123026689414402,top2_diversified,0.011520743022446442,0.6208803080455205,2021-04-01,0,hold_buffer,0.49,0.0049,WT COPPER - EUR DAILY HEDGED,WT COPPER - EUR DAILY HEDGED
2025-01-01,STRAT1,ASRATH2 LX Equity,1,1.5848382258751181,top1,,0.0,2023-04-03,0,hold_buffer,1.6,0.016,ALLIANZ STRUCT RT-AT14EUR,ALLIANZ STRUCT RT-AT14EUR
2025-01-01,STRAT1,UIATHNA GR Equity,2,0.8047281270087158,top2_diversified,-0.2414390602317041,0.021917927054438402,2024-04-01,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2025-01-01,STRAT2,SCHCTEA LX Equity,1,2.3058828258122457,top1,,0.0,2024-04-01,1,better_score,2.45,0.0245,SCHRODER GAIA CONTOUR T EQ-A,SCHRODER GAIA CONTOUR T EQ-A
2025-01-01,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2025-04-01,STRAT1,ASRATH2 LX Equity,1,1.5848382258751181,top1,,0.0,2023-04-03,0,hold_buffer,1.6,0.016,ALLIANZ STRUCT RT-AT14EUR,ALLIANZ STRUCT RT-AT14EUR
2025-04-01,STRAT1,UIATHNA GR Equity,2,0.8047281270087158,top2_diversified,-0.2414390602317041,0.021917927054438402,2024-04-01,0,hold_buffer,1.23,0.0123,ATHENA UI,ATHENA UI
2025-04-01,STRAT2,SCHCTEA LX Equity,1,2.273452019701201,top1,,0.0,2025-04-01,0,same_ticker,2.45,0.0245,SCHRODER GAIA CONTOUR T EQ-A,SCHRODER GAIA CONTOUR T EQ-A
2025-04-01,STRAT2,UGEEIBA ID Equity,2,1.2675583262603265,top2_diversified,0.12368674595667473,0.7179196631669764,2024-04-01,0,hold_buffer,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2025-04-01,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2025-07-01,STRAT1,ASRATH2 LX Equity,1,1.5848382258751181,top1,,0.0,2023-04-03,0,hold_buffer,1.6,0.016,ALLIANZ STRUCT RT-AT14EUR,ALLIANZ STRUCT RT-AT14EUR
2025-07-01,STRAT1,UIATHNA GR Equity,2,0.8047281270087158,top2_diversified,-0.2414390602317041,0.021917927054438402,2024-04-01,0,hold_buffer,1.23,0.0123,ATHENA UI,ATHENA UI
2025-07-01,STRAT2,SCHCTEA LX Equity,1,2.2388376222024777,top1,,0.0,2025-04-01,0,same_ticker,2.45,0.0245,SCHRODER GAIA CONTOUR T EQ-A,SCHRODER GAIA CONTOUR T EQ-A
2025-07-01,STRAT2,UGEEIBA ID Equity,2,1.2675583262603265,top2_diversified,0.12368674595667473,0.7179196631669764,2024-04-01,0,hold_buffer,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2025-07-01,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
2025-10-01,STRAT1,ASRATH2 LX Equity,1,1.5848382258751181,top1,,0.0,2023-04-03,0,hold_buffer,1.6,0.016,ALLIANZ STRUCT RT-AT14EUR,ALLIANZ STRUCT RT-AT14EUR
2025-10-01,STRAT1,UIATHNA GR Equity,2,0.8047281270087158,top2_diversified,-0.2414390602317041,0.021917927054438402,2024-04-01,0,hold_buffer,1.23,0.0123,ATHENA UI,ATHENA UI
2025-10-01,STRAT2,SCHCTEA LX Equity,1,2.4691650466406556,top1,,0.0,2025-04-01,0,same_ticker,2.45,0.0245,SCHRODER GAIA CONTOUR T EQ-A,SCHRODER GAIA CONTOUR T EQ-A
2025-10-01,STRAT2,UGEEIBA ID Equity,2,1.2675583262603265,top2_diversified,0.12368674595667473,0.7179196631669764,2024-04-01,0,hold_buffer,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2025-10-01,STRAT3,NUMCAII ID Equity,1,2.5331829769869607,top1,,0.0,2021-04-01,0,hold_buffer,0.49,0.0049,HI NUMEN CREDIT FUND-II,HI NUMEN CREDIT FUND-II
