,beta_rolling_63j
2021-09-03,0.09245591878663093
2021-09-06,0.08898565352076296
2021-09-07,0.07404182302503318
2021-09-08,0.10673191767199067
2021-09-09,0.10458401929827071
2021-09-10,0.1296329751157686
2021-09-13,0.12655795267600284
2021-09-14,0.03562971948902234
2021-09-15,-0.023031728690721908
2021-09-16,-0.02213317004797525
2021-09-17,0.0016352086480959126
2021-09-20,0.004895100794588659
2021-09-21,-0.03664743133307376
2021-09-22,0.009695034379588017
2021-09-23,0.014152580998079865
2021-09-24,0.016150653687617405
2021-09-27,0.02483601526692202
2021-09-28,0.04618390303751274
2021-09-29,0.008346140240728397
2021-09-30,-0.008121792724743598
2021-10-01,-0.0462468002735539
2021-10-04,-0.033011045991000285
2021-10-05,0.011606958084320291
2021-10-06,-0.01307396283793355
2021-10-07,-0.001396953158227399
2021-10-08,-0.006077496863770917
2021-10-11,-0.01096039448312013
2021-10-12,0.010110803869619706
2021-10-13,0.05439251907685872
2021-10-14,0.12474872236903498
2021-10-15,0.1320627873292219
2021-10-18,0.13226554782599673
2021-10-19,0.13841190749073667
2021-10-20,0.14066108772211566
2021-10-21,0.1260275414904974
2021-10-22,0.13717863920920334
2021-10-25,0.13953223821043245
2021-10-26,0.1373420225805902
2021-10-27,0.12973582763471395
2021-10-28,0.15974001016004133
2021-10-29,0.14571167547253616
2021-11-01,0.0972536438195271
2021-11-02,0.1102890959238602
2021-11-03,0.10463728770194425
2021-11-04,0.10705975924306711
2021-11-05,0.10901965707094034
2021-11-08,0.10820339735239387
2021-11-09,0.10400205159003628
2021-11-10,0.09220036170142397
2021-11-11,0.08833799602734743
2021-11-12,0.09216758838162094
2021-11-15,0.09221337420484597
2021-11-16,0.089247405368706
2021-11-17,0.09309474352551228
2021-11-18,0.09231038296661204
2021-11-19,0.09565877909209813
2021-11-22,0.09329037760241364
2021-11-23,0.15005225957258228
2021-11-24,0.15377103356940758
2021-11-25,0.15458738327747257
2021-11-26,0.061883565454802524
2021-11-29,0.05090804071454415
2021-11-30,0.049889936032464284
2021-12-01,0.017322565020666418
2021-12-02,0.01880321929343455
2021-12-03,0.022199372618242685
2021-12-06,0.030374917642738888
2021-12-07,0.04473635338268104
2021-12-08,0.03585945626069995
2021-12-09,0.03635041090119564
2021-12-10,0.03963280521141128
2021-12-13,0.0397767447600521
2021-12-14,0.039047347588046996
2021-12-15,0.03604583467024495
2021-12-16,0.04145818557837603
2021-12-17,0.044051060368861465
2021-12-20,0.045601440095291955
2021-12-21,0.03244704651730889
2021-12-22,0.02868901260812965
2021-12-23,0.028427716653095687
2021-12-24,0.023322029407586885
2021-12-27,0.02581366130825561
2021-12-28,0.026815528219235142
2021-12-29,0.026792358360736332
2021-12-30,0.026504456655278175
2021-12-31,0.024613113085253505
2022-01-03,0.029265206464248412
2022-01-04,0.01950498994097361
2022-01-05,0.02217991199241791
2022-01-06,0.037452423104119004
2022-01-07,0.04203111406470176
2022-01-10,0.03764080919895918
2022-01-11,0.015048528158314834
2022-01-12,0.021321468486689768
2022-01-13,0.019337570196233674
2022-01-14,0.01984519203000618
2022-01-17,0.018753807334076604
2022-01-18,0.01214785252283445
2022-01-19,0.005990487945364742
2022-01-20,0.004671501799466268
