,DWMAEIA ID Equity
2023-02-02,-0.1920610639318207
2023-02-03,-0.19612105763395218
2023-02-08,-0.19693583331071873
2023-02-09,-0.19585538112351386
2023-02-10,-0.1956381883350822
2023-02-14,-0.19846814527032916
2023-02-15,-0.19681091162277575
2023-02-16,-0.1971379778921354
2023-02-17,-0.1973029388963101
2023-02-22,-0.19739595445142138
2023-02-23,-0.1985193985905533
2023-02-24,-0.20148667700304076
2023-02-28,-0.2023653668475954
2023-03-01,-0.20415206830643576
2023-03-02,-0.20645137800861577
2023-03-03,-0.20416251911132954
2023-03-07,-0.21229796453592678
2023-03-08,-0.21417438070214842
2023-03-09,-0.21497955353969184
2023-03-10,-0.2085942742877285
2023-03-14,-0.2183688049898263
2023-03-15,-0.23507934690087576
2023-03-16,-0.2514834766709868
2023-03-21,-0.25284850677933124
2023-03-22,-0.25355229555284153
2023-03-23,-0.2571596914182921
2023-03-24,-0.25993670912426864
2023-03-28,-0.25929315869286823
2023-03-29,-0.2588303948269329
2023-03-30,-0.2588063668950478
2023-03-31,-0.2557918818822719
2023-04-04,-0.25502484806582915
2023-04-05,-0.2571918828759949
2023-04-06,-0.2571091764934127
2023-04-12,-0.25866141960647976
2023-04-13,-0.25707221227289306
2023-04-14,-0.25338553927959234
2023-04-18,-0.2539851633529647
2023-04-19,-0.25403914611550926
2023-04-20,-0.25555010491932256
2023-04-21,-0.2569589260254704
2023-04-25,-0.2580569567729458
2023-04-26,-0.25564633711831886
2023-04-27,-0.2622647849952886
2023-04-28,-0.25674293866836817
2023-05-03,-0.28075078522477775
2023-05-04,-0.2835098081016564
2023-05-05,-0.29553084439302685
2023-05-10,-0.2973602717463214
2023-05-11,-0.3196873569758219
2023-05-12,-0.31916789463561884
2023-05-16,-0.31952504491503314
2023-05-17,-0.3204294891112991
2023-05-23,-0.322162530466491
2023-05-24,-0.3193278701743045
2023-05-25,-0.3144153677433528
2023-05-26,-0.3120210659725714
2023-05-31,-0.3207590637709873
2023-06-01,-0.313513786050799
2023-06-02,-0.3156719501092551
2023-06-07,-0.31489784523097963
2023-06-08,-0.31568344885217975
2023-06-09,-0.31370855549338234
2023-06-13,-0.31394927279626583
2023-06-14,-0.31555473447324367
2023-06-15,-0.3109027047301284
2023-06-16,-0.3089405071823171
2023-06-21,-0.30498223066490937
2023-06-22,-0.3058079497720224
2023-06-23,-0.3127212910670109
2023-06-27,-0.32847999345194717
2023-06-28,-0.32860497796920946
2023-06-29,-0.3382143129192311
2023-06-30,-0.3407496848573518
2023-07-06,-0.33135353179721855
2023-07-07,-0.33493985918300895
2023-07-11,-0.33486874051899695
2023-07-12,-0.33639402472338586
2023-07-13,-0.3350483281967672
2023-07-18,-0.3357988744275581
