,portfolio_vol_rolling
2023-05-11,0.07320340882908254
2023-05-12,0.07303978634664526
2023-05-15,0.07259674923761121
2023-05-16,0.0726746946783644
2023-05-17,0.07138525347132754
2023-05-18,0.07311053611987796
2023-05-19,0.07184662729065683
2023-05-22,0.07192544369915183
2023-05-23,0.07206256363494339
2023-05-24,0.07473578269526068
2023-05-25,0.07452854336827273
2023-05-26,0.07632756271574886
2023-05-29,0.07525275361795637
2023-05-30,0.07526764151434016
2023-05-31,0.07288911134152504
2023-06-01,0.07300119990338934
2023-06-02,0.07571695135177271
2023-06-05,0.07570904649712693
2023-06-06,0.07572458167823155
2023-06-07,0.07039584361692776
2023-06-08,0.06510383514708633
2023-06-09,0.06317477424352003
2023-06-12,0.06205154912636841
2023-06-13,0.06132810846285938
2023-06-14,0.060689140501026174
2023-06-15,0.06106658890311835
2023-06-16,0.06059580221615527
2023-06-19,0.06140826439333576
2023-06-20,0.06081323637997963
2023-06-21,0.06096066139546177
2023-06-22,0.06087540472786341
2023-06-23,0.06026308309004428
2023-06-26,0.05949065946458263
2023-06-27,0.059353838057063874
2023-06-28,0.05918305252706367
2023-06-29,0.05918489141669081
2023-06-30,0.05935451740411383
2023-07-03,0.05926203220211513
2023-07-04,0.05926572053534741
2023-07-05,0.05928363360526886
2023-07-06,0.06426295414811169
2023-07-07,0.06413724263126042
2023-07-10,0.06410548911061596
2023-07-11,0.06416743245917338
2023-07-12,0.06404712166005332
2023-07-13,0.06387873930249224
2023-07-14,0.06386692667948383
2023-07-17,0.06376276949665392
2023-07-18,0.06413775285057025
2023-07-19,0.06443765905653226
2023-07-20,0.06414350774860782
2023-07-21,0.06415428540586875
2023-07-24,0.06266663999165041
2023-07-25,0.06268050532405021
2023-07-26,0.06209247354074637
2023-07-27,0.06462831099701784
2023-07-28,0.06361963593814911
2023-07-31,0.06358897808610547
2023-08-01,0.06289908721603135
2023-08-02,0.06313602830514932
2023-08-03,0.06382066985371392
2023-08-04,0.06382827853137206
2023-08-07,0.06390990337813261
2023-08-08,0.06394825926010698
2023-08-09,0.0638683470497333
2023-08-10,0.06395882946410089
2023-08-11,0.0645361548392476
2023-08-14,0.06471588053434686
2023-08-15,0.06374655569681038
2023-08-16,0.063770741345399
2023-08-17,0.06433114405448788
2023-08-18,0.06482767918517038
2023-08-21,0.06127374467251159
2023-08-22,0.06277956120879462
2023-08-23,0.06099202562860466
2023-08-24,0.06101295845763177
2023-08-25,0.0608303386863591
2023-08-28,0.060830825445378364
2023-08-29,0.061407463920359465
2023-08-30,0.057575645703904485
2023-08-31,0.05855941055038914
2023-09-01,0.05863568385533314
2023-09-04,0.05849679123702039
2023-09-05,0.05809446793035495
2023-09-06,0.059113225706168636
2023-09-07,0.05904700219456148
2023-09-08,0.05831822121131499
2023-09-11,0.05833058592672919
2023-09-12,0.05808052763451539
2023-09-13,0.057655780886750045
2023-09-14,0.05902207865368769
2023-09-15,0.05922924269969507
2023-09-18,0.059353221885889554
2023-09-19,0.059508639028062305
2023-09-20,0.059634505018273054
2023-09-21,0.06369450033699374
2023-09-22,0.06363318866228895
2023-09-25,0.06229105993071201
2023-09-26,0.06317377239830237
2023-09-27,0.062260689172241465
2023-09-28,0.062220532021912446
2023-09-29,0.06241186130901263
2023-10-02,0.06244368078474678
2023-10-03,0.06055990703368152
2023-10-04,0.06085762322781519
2023-10-05,0.060672959276758885
2023-10-06,0.060745808943924055
2023-10-09,0.06095872049613068
2023-10-10,0.06380636373730965
2023-10-11,0.0639013726286093
2023-10-12,0.06444950861712402
2023-10-13,0.06404671212509094
2023-10-16,0.06360887938783291
2023-10-17,0.06389324045976735
2023-10-18,0.06425884879840035
2023-10-19,0.06568101629661215
2023-10-20,0.06908585251459629
2023-10-23,0.06891416487168373
2023-10-24,0.06611427297002308
2023-10-25,0.06652961201613299
2023-10-26,0.0670939583114717
2023-10-27,0.06764708081913241
2023-10-30,0.06666575600343679
2023-10-31,0.06739174737274908
2023-11-01,0.06989272396992897
2023-11-02,0.07301214893472087
2023-11-03,0.07334820318667856
2023-11-06,0.07349256425732947
2023-11-07,0.07384540782698301
2023-11-08,0.0734033103778883
2023-11-09,0.07338451363623198
2023-11-10,0.07297654735840975
2023-11-13,0.07340157595337977
2023-11-14,0.07342515687627942
2023-11-15,0.07296453685642003
2023-11-16,0.07316383377898465
2023-11-17,0.07183553456268874
2023-11-20,0.07129276140405484
2023-11-21,0.07112781532864224
2023-11-22,0.07182409418496968
2023-11-23,0.07137355734584
2023-11-24,0.07057347355445641
2023-11-27,0.07053180191370152
2023-11-28,0.06970071254194937
2023-11-29,0.06967327396097993
2023-11-30,0.06986623754462111
2023-12-01,0.07146698082672887
2023-12-04,0.0704892102396841
2023-12-05,0.07096827623736646
2023-12-06,0.07106087078930258
2023-12-07,0.07105068471043244
2023-12-08,0.07123684118969865
2023-12-11,0.07127177623823334
2023-12-12,0.06952660680987456
2023-12-13,0.06929063361513758
