,w_core_effectif,w_sat_effectif,scale
2016-10-31,1.0608715415904337,0.45465923211018594,1.5155307737006198
2016-11-30,1.0288453590300608,0.4409337252985975,1.4697790843286582
2016-12-31,0.960105315446928,0.411473706620112,1.37157902206704
2017-01-31,0.9675316177730673,0.4146564076170289,1.3821880253900962
2017-02-28,0.9596272479237683,0.41126882053875785,1.3708960684625262
2017-03-31,1.0927002240854786,0.46830009603663375,1.5610003201221125
2017-04-30,1.0951491439932708,0.46934963313997324,1.5644987771332441
2017-05-31,1.1089930073824754,0.47528271744963235,1.584275724832108
2017-06-30,1.1480147606365525,0.492006325987094,1.6400210866236467
2017-07-31,1.4,0.6,2.0
2017-08-31,1.4,0.6,2.0
2017-09-30,1.4,0.6,2.0
2017-10-31,1.4,0.6,2.0
2017-11-30,1.4,0.6,2.0
2017-12-31,1.4,0.6,2.0
2018-01-31,1.4,0.6,2.0
2018-02-28,1.4,0.6,2.0
2018-03-31,1.4,0.6,2.0
2018-04-30,1.4,0.6,2.0
2018-05-31,1.4,0.6,2.0
2018-06-30,1.4,0.6,2.0
2018-07-31,1.4,0.6,2.0
2018-08-31,1.4,0.6,2.0
2018-09-30,1.4,0.6,2.0
2018-10-31,1.4,0.6,2.0
2018-11-30,1.4,0.6,2.0
2018-12-31,1.4,0.6,2.0
2019-01-31,1.4,0.6,2.0
2019-02-28,1.4,0.6,2.0
2019-03-31,1.4,0.6,2.0
2019-04-30,1.4,0.6,2.0
2019-05-31,1.4,0.6,2.0
2019-06-30,1.4,0.6,2.0
2019-07-31,1.4,0.6,2.0
2019-08-31,1.4,0.6,2.0
2019-09-30,1.4,0.6,2.0
2019-10-31,1.4,0.6,2.0
2019-11-30,1.4,0.6,2.0
2019-12-31,1.4,0.6,2.0
2020-01-31,1.4,0.6,2.0
2020-02-29,1.4,0.6,2.0
2020-03-31,1.4,0.6,2.0
2020-04-30,1.4,0.6,2.0
2020-05-31,1.4,0.6,2.0
2020-06-30,1.4,0.6,2.0
2020-07-31,1.4,0.6,2.0
2020-08-31,1.4,0.6,2.0
2020-09-30,1.4,0.6,2.0
2020-10-31,1.4,0.6,2.0
2020-11-30,1.4,0.6,2.0
2020-12-31,1.4,0.6,2.0
2021-01-31,1.4,0.6,2.0
2021-02-28,1.4,0.6,2.0
2021-03-31,1.4,0.6,2.0
2021-04-30,1.4,0.6,2.0
2021-05-31,1.4,0.6,2.0
2021-06-30,1.4,0.6,2.0
2021-07-31,1.4,0.6,2.0
2021-08-31,1.4,0.6,2.0
2021-09-30,1.4,0.6,2.0
2021-10-31,1.4,0.6,2.0
2021-11-30,1.4,0.6,2.0
2021-12-31,1.4,0.6,2.0
2022-01-31,1.4,0.6,2.0
2022-02-28,1.4,0.6,2.0
2022-03-31,1.4,0.6,2.0
2022-04-30,1.3820603424014566,0.59231157531491,1.9743719177163668
2022-05-31,1.4,0.6,2.0
2022-06-30,1.3553440178827454,0.580861721949748,1.9362057398324934
2022-07-31,1.26136666621599,0.5405857140925671,1.801952380308557
2022-08-31,1.2302297034979766,0.5272413014991328,1.7574710049971094
2022-09-30,1.2314131187538138,0.5277484794659202,1.759161598219734
2022-10-31,1.219204015007838,0.5225160064319306,1.7417200214397688
2022-11-30,1.3010849799041078,0.5576078485303319,1.8586928284344397
2022-12-31,1.2958101155363901,0.5553471923727387,1.8511573079091288
2023-01-31,1.287151086788583,0.5516361800522498,1.8387872668408327
2023-02-28,1.4,0.6,2.0
2023-03-31,1.4,0.6,2.0
2023-04-30,1.4,0.6,2.0
2023-05-31,1.4,0.6,2.0
2023-06-30,1.4,0.6,2.0
2023-07-31,1.4,0.6,2.0
2023-08-31,1.4,0.6,2.0
2023-09-30,1.4,0.6,2.0
2023-10-31,1.4,0.6,2.0
2023-11-30,1.4,0.6,2.0
2023-12-31,1.4,0.6,2.0
2024-01-31,1.4,0.6,2.0
2024-02-29,1.4,0.6,2.0
2024-03-31,1.4,0.6,2.0
2024-04-30,1.4,0.6,2.0
2024-05-31,1.4,0.6,2.0
2024-06-30,1.4,0.6,2.0
2024-07-31,1.4,0.6,2.0
2024-08-31,1.4,0.6,2.0
2024-09-30,1.4,0.6,2.0
2024-10-31,1.4,0.6,2.0
2024-11-30,1.4,0.6,2.0
2024-12-31,1.4,0.6,2.0
2025-01-31,1.4,0.6,2.0
2025-02-28,1.4,0.6,2.0
2025-03-31,1.4,0.6,2.0
2025-04-30,1.4,0.6,2.0
2025-05-31,1.4,0.6,2.0
2025-06-30,1.4,0.6,2.0
2025-07-31,1.4,0.6,2.0
2025-08-31,1.4,0.6,2.0
2025-09-30,1.4,0.6,2.0
2025-10-31,1.4,0.6,2.0
2025-11-30,1.4,0.6,2.0
2025-12-31,1.4,0.6,2.0
