,portfolio_return_gross,portfolio_return_net_est,portfolio_nav_gross,portfolio_nav_net_est,fee_drag_nav,portfolio_ter_bps_annualized,portfolio_ter_daily_drag,allocation_turnover_daily
2022-07-11,-0.0018293959556311412,-0.0018396065863880277,1.115320705830567,1.1096035927371766,0.005717113093390402,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-12,0.0017741914233315823,0.0017639807925746958,1.1172994982611157,1.1115609121621368,0.005738586098978926,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-13,-0.009123034385688183,-0.00913324501644507,1.1071063365193674,1.1014087540006567,0.005697582518710664,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-14,-0.007603028705921083,-0.00761323933667797,1.0986889752623035,1.0930234655489375,0.00566550971336599,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-15,0.012877655687130982,0.012867445056374096,1.1128375135929782,1.107087884937216,0.005749628655762118,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-18,0.001815063552732643,0.0018048529219757566,1.1148573844040144,1.109086015741229,0.005771368662785381,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-19,0.00010715630818214497,9.69456774252584e-05,1.114976848405477,1.109193536836348,0.005783311569129035,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-20,0.009034443936018734,0.009024233305261848,1.1250500442323552,1.1192031580934478,0.005846886138907381,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-21,0.0014930998097797022,0.0014828891790228157,1.1267298562393913,1.1208628123457127,0.005867043893678536,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-22,0.001969950341174769,0.0019597397104178823,1.1289494581041017,1.1230594117089971,0.005890046395104598,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-25,0.0005712931331239846,0.000561082502367098,1.1295944191771605,1.123689540694026,0.00590487848313459,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-26,-0.0005057630813432633,-0.0005159737121001499,1.1290231120230492,1.123109746430466,0.005913365592583153,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-27,0.006048082441115836,0.006037871810358949,1.1358515368824897,1.1298909391083778,0.005960597774111953,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-28,0.010274827168781095,0.01026461653802421,1.1475222151133517,1.1414888363281135,0.0060333787852382414,25.730789507354146,1.0210630756886567e-05,0.0
2022-07-29,0.006366347604040509,0.006357310088362988,1.154827740418122,1.1487456348230558,0.006082105595066167,22.774539507354145,9.037515677521485e-06,0.0
2022-08-01,0.0022581260306594464,0.002249088514981925,1.157435486999688,1.151329265436972,0.006106221562715897,22.774539507354145,9.037515677521485e-06,0.0
2022-08-02,0.0013495488674733754,0.001340511351795854,1.1589975027503416,1.1528726353869452,0.006124867363396458,22.774539507354145,9.037515677521485e-06,0.0
2022-08-03,0.005324713207803447,0.005315675692125926,1.1651688320610476,1.159000932430989,0.006167899630058704,22.774539507354145,9.037515677521485e-06,0.0
2022-08-04,-0.0014494512967080126,-0.001458488812385534,1.163479976586533,1.1573105425374939,0.006169434049039024,22.774539507354145,9.037515677521485e-06,0.0
