,PDAIEUR LX Equity,EXCRISA LX Equity,LUMNUDE LX Equity
2020-12-10,-0.014175085678965397,0.01212658405666048,0.023024364964064944
2020-12-11,-0.01544558850002309,0.012535812265248253,0.023367251665370948
2020-12-15,-0.01544435320794793,0.01231428904472988,0.023299544695324286
2020-12-16,-0.015265243551083102,0.012514850876185542,0.023293717228633173
2020-12-17,-0.015360193426069335,0.012264293766368587,0.02062022153692143
2020-12-18,-0.015097718181008662,0.012436190510204526,0.020819490101684535
2020-12-22,-0.015008936767693468,0.012522941956189507,0.020672525065349074
2020-12-23,-0.016252007003910666,0.012437453105670333,0.0214454329546524
2020-12-24,,0.012688568839619406,
2020-12-29,-0.015548044100504936,0.012742665978845606,
2020-12-30,-0.015850560071684002,0.012231506689577643,0.020979927392590934
2020-12-31,-0.01590629824892817,0.01158281172555483,0.02204196033329414
2021-01-05,-0.015796775988998868,0.012021073150649425,0.021617463426935834
2021-01-06,-0.01583154510322878,0.01274658956951395,0.022268191906538087
2021-01-07,-0.015309869416676567,0.012741335427217117,0.022803231857921855
2021-01-08,-0.014954233494641438,0.012247162037785607,0.022715816129853798
2021-01-12,-0.014939095063799387,0.01222318868513575,0.02159173749146926
2021-01-13,-0.015258235184623702,0.012442387579394464,0.021863198154827512
2021-01-14,-0.015237163942003236,0.012215024206339012,0.02167760107271953
2021-01-15,-0.015089540111934556,0.012240232860737181,0.022370176475594684
2021-01-19,-0.014882334081317318,0.011976068067888347,
2021-01-20,-0.014751789907669744,0.012042465386368259,0.0251571831299128
2021-01-21,-0.014800257776126277,0.012269098258143223,0.024743547663550813
2021-01-22,-0.015917713364068973,0.012521044727449013,0.024310097678878855
2021-01-26,-0.017011293679601962,0.012144602805624528,0.022186310817126704
2021-01-27,-0.014854160652643356,0.014878708953673828,0.02706716480932439
2021-01-28,-0.014584728530328024,0.014966145922203345,0.027222921445731383
2021-01-29,-0.014911330168497296,0.012340624546613081,0.025653174556030105
2021-02-02,-0.013317800636778308,0.01208294880014607,0.026616322207310923
2021-02-03,-0.013265644109132918,0.0122513818336502,0.02663593825078111
2021-02-04,-0.013934036839603505,0.013049571703879817,0.02751528321194337
2021-02-05,-0.013848825663401319,0.013062225419949704,0.02750754604106796
