,core_log_return_oos
2015-05-22,0.0006528903408228091
2015-05-26,-0.00028335805589581043
2015-05-27,0.000543167135593725
2015-05-28,6.174388658433108e-05
2015-05-29,-0.0002821783931136857
2015-06-01,-0.0012307592708580726
2015-06-02,-0.0026306840956211272
2015-06-03,0.0010280243890531172
2015-06-04,-0.0005764063213645088
2015-06-05,-0.0010571948710680788
2015-06-08,-0.0011300916036403928
2015-06-09,-0.0008775015304963496
2015-06-10,0.0008674112292017976
2015-06-11,0.00043441654606457547
2015-06-12,-0.0004179324265422669
2015-06-15,-5.9751831855336924e-05
2015-06-16,0.0001432615488533351
2015-06-17,-0.0008010958095507447
2015-06-18,0.0005585401301437364
2015-06-19,-0.0011490400442474957
2015-06-22,0.0009989743364060555
2015-06-23,0.0004465721668912348
2015-06-24,-0.0031991993469307808
2015-06-25,-0.0010970197522618187
2015-06-26,0.0011828745463160482
2015-06-29,-0.0008358390002585648
2015-06-30,-0.0008654863585967121
2015-07-01,7.19287867450459e-05
2015-07-02,0.0005596982220253231
2015-07-03,0.00031956117652654186
2015-07-06,0.00023899074068033294
2015-07-07,-0.0007488581867237143
2015-07-08,0.00018442747938042877
2015-07-09,-0.0006994278565508328
2015-07-10,0.001295159331491497
2015-07-13,0.0009009925707087705
2015-07-14,0.0010422990876886814
2015-07-15,-0.00011618227329276092
2015-07-16,0.0014076363871459241
2015-07-17,-0.00025798165172785897
2015-07-20,0.0004450442304918151
2015-07-21,-3.8678406028277784e-05
2015-07-22,-0.0009766300690236453
2015-07-23,0.0011891992458690766
2015-07-24,-0.0007501901289333959
2015-07-27,-0.0015745147493580666
2015-07-28,0.00032917065785987106
2015-07-29,0.0013108104073596674
2015-07-30,0.0005039303579576796
2015-07-31,0.001006849654676284
2015-08-03,-0.00030354963926622027
2015-08-04,-0.0015400599888697158
2015-08-05,0.0011265897791012632
2015-08-06,0.000302793095824689
2015-08-07,-0.0005828500203243692
2015-08-10,0.0017066903357558696
2015-08-11,-0.0011860599387498118
2015-08-12,-0.0015820704078137965
2015-08-13,0.0011627694877788717
2015-08-14,0.00024984145981626546
2015-08-17,0.00042376676661589756
2015-08-18,-0.00019049780621396725
2015-08-19,-0.0007476905535789885
2015-08-20,-0.0012868070622225798
2015-08-21,-0.0031524966420462867
2015-08-24,-0.006860786793806178
2015-08-25,0.003579778788622404
2015-08-26,-0.0008978921739255658
2015-08-27,0.00460005192088367
2015-08-28,-1.8839273547976778e-06
2015-09-01,-0.0030207173335795195
2015-09-02,0.0011944623776205159
2015-09-03,0.0027758961962088234
2015-09-04,-0.0020559464114807404
2015-09-07,9.632616986364432e-05
2015-09-08,4.212234472358884e-05
2015-09-09,0.0011074394908663675
2015-09-10,-0.0013183051308270392
2015-09-11,-2.439923060768652e-05
2015-09-14,-0.0007349954872893886
2015-09-15,0.0006829163891881913
2015-09-16,3.3666338715756194e-05
2015-09-17,0.0013414246554968043
2015-09-18,-0.0023337666302488593
2015-09-21,0.0011771865788239102
2015-09-22,-0.0024544306811710185
2015-09-23,0.0005163867447237607
2015-09-24,-0.0026551278298941926
2015-09-25,0.003374153180595195
2015-09-28,-0.0033754969594476532
2015-09-29,0.0001265790279239193
2015-09-30,0.0016890538904822446
2015-10-01,0.00024622175776795827
2015-10-02,-0.000671712217098662
2015-10-05,0.0012482572139365271
2015-10-06,-0.00040882335005595926
2015-10-07,-1.8422207504371088e-05
2015-10-08,0.001012590188313922
2015-10-09,0.001477444243655129
2015-10-12,-0.00025645067786764816
2015-10-13,0.001010654261760082
2015-10-14,-0.0011693045596180823
2015-10-15,0.0003054958187235522
2015-10-16,0.00022648651226249
2015-10-19,-0.0013023823135499381
2015-10-20,0.0005246318987106328
2015-10-21,0.0009203891297892302
2015-10-22,0.0007315606873217347
2015-10-23,0.0009423100732149753
2015-10-26,0.0005485125703166216
2015-10-27,0.00013677479859747763
2015-10-28,-0.0007462655297449731
2015-10-29,-8.197758609283565e-05
2015-10-30,-0.0006890482101260193
2015-11-02,-2.716717137039935e-05
2015-11-03,0.00044908869256859795
2015-11-04,-2.4721041647040142e-05
2015-11-05,-0.0009849119115702375
2015-11-06,0.001281512680520398
2015-11-09,8.548990114011225e-05
2015-11-10,0.0002692283352030069
2015-11-11,-0.0001466585561046139
2015-11-12,-0.0001092151506567824
2015-11-13,-0.0003403941457913759
2015-11-16,0.0003171463509808898
2015-11-17,0.001089560695395622
2015-11-18,0.0004978275185205902
2015-11-19,0.0004309510727258961
2015-11-20,0.00037574766028821766
2015-11-23,-9.523674475261314e-05
2015-11-24,0.00034108432926072477
2015-11-25,5.482702982901577e-05
2015-11-26,0.0002982911782186121
2015-11-27,-0.00028375629923333415
2015-11-30,0.00016478837501280114
2015-12-01,0.00045187905728846637
2015-12-02,-0.002834676237241224
2015-12-03,-0.0008799362607440343
2015-12-04,0.0008945861575650729
2015-12-07,0.00020335548836595223
2015-12-08,-0.00029464902107411404
2015-12-09,-0.0004289244981568284
2015-12-10,-0.0002526139230548843
2015-12-11,-0.0017047675365990773
2015-12-14,-0.0012064529314215686
2015-12-15,0.0008490911426024311
2015-12-16,0.001370530241318898
2015-12-17,0.0010975826836840353
2015-12-18,-0.0010580426780372517
2015-12-21,-0.0012584468438745979
2015-12-22,5.01530574316728e-05
2015-12-23,0.000535741496962668
2015-12-24,0.00034888832817669193
2015-12-29,0.0006733145871836412
2015-12-30,-0.002181020993126072
2015-12-31,-0.0023235009139225067
2016-01-04,-0.009732930397523504
2016-01-05,0.0035860817828983226
2016-01-06,-0.002428092512448245
2016-01-07,-0.005856871769021636
2016-01-08,-0.005504889110999448
2016-01-11,-0.003694107874239496
2016-01-12,0.005869967281474734
2016-01-13,-0.00021522777049454142
2016-01-14,-0.004161983461471899
2016-01-15,-0.005112871222240626
2016-01-18,-0.0002392969395554446
2016-01-19,0.0076475605490725004
2016-01-20,-0.015860926149832554
2016-01-21,0.008302654312006124
2016-01-22,0.004847094425174218
2016-01-25,0.0004953894872643529
2016-01-26,-0.0007964394421653426
2016-01-27,0.0037084921445799802
2016-01-28,-0.006468790986990274
2016-01-29,0.012216421305615918
2016-02-01,-0.002339040445379671
2016-02-02,-0.006303870322194442
2016-02-03,-0.009984004509702745
2016-02-04,0.005247710633073414
2016-02-05,-0.0033932029053834103
2016-02-08,-0.008622751947289859
2016-02-09,-0.001610565153682054
2016-02-10,0.0019906529444127866
2016-02-11,-0.010615689993027918
2016-02-12,0.007900535555246974
2016-02-15,0.00933909305102168
2016-02-16,0.003032708265407759
2016-02-17,0.010146433225277736
2016-02-18,-0.001016192394427052
2016-02-19,-0.0012338013899000366
2016-02-22,0.01229225930261931
2016-02-23,-0.003661400645517967
2016-02-24,-0.003761280305986194
2016-02-25,0.00816459243619368
2016-02-26,0.007136391792847845
2016-02-29,-0.002744148683770222
2016-03-01,0.0038318231514521206
2016-03-02,3.895727372005278e-05
2016-03-03,-0.0020867540158000532
2016-03-04,0.004480095804668063
2016-03-07,-0.0011676862099224928
2016-03-08,-0.003494989849259957
2016-03-09,0.0009809886105163655
2016-03-10,-0.004657585427869696
2016-03-11,0.006349527924690616
2016-03-14,0.0025895080681921385
2016-03-15,0.0018615750387257722
2016-03-16,0.002568402943709149
2016-03-17,-0.005076228525907037
2016-03-18,0.0019078644943759228
2016-03-21,0.0025285593336679133
2016-03-22,0.0062549457885663386
2016-03-23,0.0014376538351045026
2016-03-24,-0.006443905213500982
2016-03-29,-0.001179719472122499
2016-03-30,0.0048505474841633615
2016-03-31,-0.000973055974578817
2016-04-01,0.0030010545217110853
2016-04-04,-0.0017023831879420003
2016-04-05,-0.001437347732553949
2016-04-06,0.003529042149407543
2016-04-07,-0.0015508476360144277
2016-04-08,0.0030993940687765917
2016-04-11,-0.003111750497143981
2016-04-12,0.0022562503574888185
2016-04-13,0.0062806403236784925
2016-04-14,0.004615758499449902
2016-04-15,-0.002357131865997706
2016-04-18,-0.00044030415621345523
2016-04-19,0.0004234558022003116
2016-04-20,0.0013613997323948608
2016-04-21,0.000766543431482302
2016-04-22,-0.0049474576291913715
2016-04-25,-0.004472559040830854
2016-04-26,-0.001001308939539801
2016-04-27,0.0011646982218582729
2016-04-28,-0.0005757770995216126
2016-04-29,-0.008357132356572795
2016-05-03,0.001052041174516737
2016-05-04,-0.0014196406555979624
2016-05-05,-0.00019952869181008045
2016-05-06,0.0007109714327755419
2016-05-09,0.0023540473679469517
2016-05-10,0.0028625080143100026
2016-05-11,-0.0007797062185562532
2016-05-12,-0.0038480701121090324
2016-05-13,0.0039513400419189226
2016-05-16,-0.0006984993058988468
2016-05-17,-0.0028078527017045356
2016-05-18,-0.004305221799296439
2016-05-19,-0.005496556763989075
2016-05-20,0.007222585391017935
2016-05-23,0.0008989761874901964
2016-05-24,0.0005771617021274268
2016-05-25,0.00151444531145004
2016-05-26,0.0011226586784040633
2016-05-27,0.0023215508689639263
2016-05-31,0.0020600075445208676
2016-06-01,0.0031568833117698834
2016-06-02,-0.0003774876598201073
2016-06-03,-0.002303289114497396
2016-06-06,0.005937766817389439
2016-06-07,-0.0007916481207900889
2016-06-08,0.00036698503397474246
2016-06-09,-0.0008333683720578735
2016-06-10,-0.0008811637405639048
2016-06-13,-0.000667316159847341
2016-06-14,-0.0028073214603821805
2016-06-15,0.0010548786754025032
2016-06-16,-0.0012846509978100761
2016-06-17,-0.0029255990728862505
2016-06-20,-0.0017174146563398533
2016-06-21,0.0002787430668556461
2016-06-22,0.0005570002663757719
2016-06-23,0.0006701637990489392
2016-06-24,0.017878614161918653
2016-06-27,-0.0003357530911875621
2016-06-28,0.0025864111107073632
2016-06-29,0.005181675692432147
2016-06-30,0.0019884900549541396
2016-07-01,0.000980390690933497
2016-07-04,0.00042760658005533967
2016-07-05,0.0009435613858051807
2016-07-06,0.00027521964484411576
2016-07-07,0.0004733963148273901
2016-07-08,0.0006052712176211728
2016-07-11,-0.0003034696468299458
2016-07-12,-0.00024516639815210797
2016-07-13,-0.0021502351413676736
2016-07-14,-0.000983613733619304
2016-07-15,0.0005469754662136506
2016-07-18,0.0003263388963107072
2016-07-19,0.0006915184225796623
2016-07-20,2.3717176944426657e-05
2016-07-21,-0.0005419826786301485
2016-07-22,0.0008071550923859139
2016-07-25,-0.0003670915963159604
2016-07-26,0.0009571245467321799
2016-07-27,6.758588520270337e-05
2016-07-28,0.0006399265893600514
2016-07-29,-0.0003273059490614739
2016-08-01,3.920091213531764e-05
2016-08-02,-0.0009537345590056036
2016-08-03,0.0006686069089692825
2016-08-04,0.0011253884541618131
2016-08-05,0.0006429268209428685
2016-08-08,0.0003426809629090144
2016-08-09,0.0013246544345995482
2016-08-10,-0.0003329750435342671
2016-08-11,0.0005984807396211878
2016-08-12,-0.000621918035873481
2016-08-15,-0.00011235048794779875
2016-08-16,-0.0002917273815773225
2016-08-17,-0.00025529106511053
2016-08-18,-0.0010925969053887207
2016-08-19,0.0009760805830947294
2016-08-22,-0.0004432441083227712
2016-08-23,0.0002859198838903509
2016-08-24,-0.0003412781858098235
2016-08-25,0.0002634735653753051
2016-08-26,0.0009872383032510702
2016-08-30,-9.963812070012955e-05
2016-08-31,-0.0007159116897418994
2016-09-01,-0.0010788606672556878
2016-09-02,0.000742970886471861
2016-09-05,0.0009201501545553103
2016-09-06,3.3468940703329237e-07
2016-09-07,-0.0005661973204365901
2016-09-08,-0.0007926226149603365
2016-09-09,-0.0009889609499842853
2016-09-12,-0.000793613492257661
2016-09-13,0.0006337183338283037
2016-09-14,-0.00016061346411873066
2016-09-15,0.000670647746568731
2016-09-16,-0.00013868748837726484
2016-09-19,0.0011332294660824972
2016-09-20,0.0002075780340770716
2016-09-21,0.001682939524513616
2016-09-22,9.577146289130339e-06
2016-09-23,0.0008177124255359213
2016-09-26,-0.0007399576273924957
2016-09-27,9.319493938004797e-05
2016-09-28,-1.0502243717333955e-05
2016-09-29,0.0003576482246278026
2016-09-30,-0.00021889430599689337
2016-10-03,0.0006907491277498466
2016-10-04,-0.0007122711564483398
2016-10-05,0.00021897748207701435
2016-10-06,-0.00045363203086111654
2016-10-07,0.0005285452903729006
2016-10-10,0.00021368627207392403
2016-10-11,-0.00014317056927890486
2016-10-12,0.00023185760118234178
2016-10-13,-0.0005086382222995586
2016-10-14,0.0003246940535191593
2016-10-17,-0.0004063193684255792
2016-10-18,-2.4709144782071166e-05
2016-10-19,0.0005797889413792857
2016-10-20,-0.0002243562281478771
2016-10-21,0.00023211888731438754
2016-10-24,-0.0002705227038723323
2016-10-25,-0.0003512875312475958
2016-10-26,-0.0014890744039155641
2016-10-27,0.0004916635459381248
2016-10-28,0.00019476627548271268
2016-10-31,-0.0005498658629160295
2016-11-01,-7.087152538353363e-05
2016-11-02,-0.0010313788021861971
2016-11-03,-0.0008214827110090883
2016-11-04,-0.0007532199727112724
2016-11-07,0.001057833635011
2016-11-08,0.0002517164861544638
2016-11-09,-0.0018054454633167924
2016-11-10,-0.00019529965316101292
2016-11-11,-0.0012934998814776858
2016-11-14,0.0008371094876779549
2016-11-15,0.0002457729153662292
2016-11-16,-0.00022496137975395956
2016-11-17,-0.0008651576222761156
2016-11-18,0.0009685640070859064
2016-11-21,-0.00027815299346135424
2016-11-22,-0.00013032497709880166
2016-11-23,0.00016755041204372526
