,portfolio_return
2022-05-03,0.0034369498614368185
2022-05-04,-0.004853202332943925
2022-05-05,-0.000789602062226175
2022-05-06,-0.007085175893861724
2022-05-09,-0.006092226981295799
2022-05-10,0.0011795928447716748
2022-05-11,0.004273621294543425
2022-05-12,0.00046617660293142484
2022-05-13,0.005446255170095875
2022-05-16,-0.00122790090111705
2022-05-17,-0.001433462653076875
2022-05-18,-0.0033876969323261247
2022-05-19,-0.003706641793416825
2022-05-20,-0.0017295400518738
2022-05-23,0.0009236437288938001
2022-05-24,-0.005403216323025525
2022-05-25,0.005383040593298026
2022-05-26,0.0037486703600503497
2022-05-27,0.006076062558883449
2022-05-30,-0.0009404487482015999
2022-05-31,-0.00503695144673345
2022-06-01,-0.0009711459346949251
2022-06-02,-0.0013146621165174867
2022-06-03,-0.00177884122384475
2022-06-06,0.001269486989485275
2022-06-07,0.000372177301527875
2022-06-08,-0.0010077076599319498
2022-06-09,-0.00588545422342965
2022-06-10,-0.010476999766539825
2022-06-13,-0.012761626783231651
2022-06-14,-0.0049232854010368
2022-06-15,0.005626768014951601
2022-06-16,-0.009924476340017824
2022-06-17,0.001827070331693825
2022-06-20,-0.00041735881880579996
2022-06-21,0.0023326131776624528
2022-06-22,0.0027272272953131503
2022-06-23,0.00333948720061645
2022-06-24,0.005927623909176401
2022-06-27,-0.001580693496041625
2022-06-28,-0.0025983839638633755
2022-06-29,0.0010701674571704
2022-06-30,-0.0005249226065726
2022-07-01,0.005022275781023225
2022-07-04,-0.0019290355735275748
2022-07-05,0.003344940803664925
2022-07-06,0.006765356735397075
2022-07-07,0.003657338748952875
2022-07-08,0.001137210739149725
2022-07-11,0.001720148420710575
2022-07-12,0.00244774902602475
2022-07-13,-0.0034001354894943503
2022-07-14,-0.004630090268770551
2022-07-15,0.007353996418915774
2022-07-18,-0.0007890436890314249
2022-07-19,-0.0005506984392511
2022-07-20,0.00419036123757185
2022-07-21,0.0006997719781335499
2022-07-22,0.004927722687144349
2022-07-25,0.0005760561279884999
2022-07-26,0.000603572022305225
2022-07-27,0.002204907142742725
2022-07-28,0.00737021867162665
2022-07-29,0.0038088113629672253
2022-08-01,0.002574606522618825
2022-08-02,-0.0010442193513253478
2022-08-03,0.0013173879739314751
2022-08-04,0.0006680166982080749
2022-08-05,-0.0021892606468199498
2022-08-08,0.0033069739381020747
2022-08-09,-0.004433697816811275
2022-08-10,0.003770846247654675
2022-08-11,-0.00024477969484579997
2022-08-12,0.0025273347985515504
2022-08-15,0.004865654484510225
2022-08-16,-0.0015595789602455153
2022-08-17,-0.0057520240220059245
2022-08-18,0.0015644606862345
2022-08-19,-0.00555443427330235
2022-08-22,-0.004275631417437675
2022-08-23,-0.0020613050880902775
2022-08-24,0.000548172112619375
2022-08-25,0.00256698558542145
2022-08-26,-0.005956902570314376
2022-08-29,-0.007785855328998675
2022-08-30,-0.003797087932147581
2022-08-31,-0.0031657162907471753
2022-09-01,-0.0029013269829186
2022-09-02,0.006373394954258886
2022-09-05,-0.003972587118115275
2022-09-06,-0.00127365175481235
2022-09-07,0.00044606613592110007
2022-09-08,0.0011608428120058651
2022-09-09,0.00300836451922555
2022-09-12,0.00276906274688835
2022-09-13,-0.006130312612934225
2022-09-14,-0.0008270863789766999
2022-09-15,-0.0037014300022968
2022-09-16,-0.004915989762830026
2022-09-19,-0.00027698358723007497
2022-09-20,-0.0034253590261468007
2022-09-21,0.004546764456571151
2022-09-22,-0.00766247111912415
2022-09-23,-0.0027416804353404003
2022-09-26,-0.0019052040068841002
2022-09-27,-0.004503817849547074
2022-09-28,0.0032220545030362748
2022-09-29,-0.0086439149048929
2022-09-30,0.00437519428151165
2022-10-03,0.005801614910118375
2022-10-04,0.006977988179095699
2022-10-05,-0.006209020214366725
2022-10-06,0.0013070808384328
2022-10-07,-0.0070690328909477
2022-10-10,-0.004336402968950475
2022-10-11,-0.0006201018507159
2022-10-12,-0.0034682003502931
2022-10-13,0.002789993131548925
2022-10-14,-0.002213917896976525
2022-10-17,0.00517818674435835
2022-10-18,5.646978787835009e-05
2022-10-19,-0.000978631613574675
2022-10-20,0.0018804491228333001
2022-10-21,-0.002493160267954625
2022-10-24,0.006295825978206825
2022-10-25,0.006809232735835749
2022-10-26,-0.00036616557538575
2022-10-27,0.0034539743793026755
2022-10-28,-0.0012890488700653003
2022-10-31,-0.00264681259111245
2022-11-01,0.0039710340029468745
2022-11-02,-0.0018213717548669001
2022-11-03,-0.00443666571690815
2022-11-04,-0.002804995748490075
